# size 1170
1 2 3 4 5 6 7 8 9
21 22 26 28 32 36 65 69 70
1 5 9 39 40 44 74 78 79
2 6 7 37 41 45 75 76 80
3 4 8 38 42 43 73 77 81
10 14 18 48 49 53 56 60 61
11 15 16 46 50 54 57 58 62
12 13 17 47 51 52 55 59 63
19 23 27 30 31 35 65 69 70
20 24 25 28 32 36 66 67 71
21 22 26 29 33 34 64 68 72
1 5 9 46 50 54 64 68 72
2 6 7 47 51 52 65 69 70
3 4 8 48 49 53 66 67 71
10 14 18 28 32 36 73 77 81
11 15 16 29 33 34 74 78 79
12 13 17 30 31 35 75 76 80
19 23 27 37 41 45 55 59 63
20 24 25 38 42 43 56 60 61
21 22 26 39 40 44 57 58 62
1 5 9 47 51 52 66 67 71
2 6 7 48 49 53 64 68 72
3 4 8 46 50 54 65 69 70
10 14 18 29 33 34 75 76 80
11 15 16 30 31 35 73 77 81
12 13 17 28 32 36 74 78 79
19 23 27 38 42 43 57 58 62
20 24 25 39 40 44 55 59 63
21 22 26 37 41 45 56 60 61
1 5 9 48 49 53 65 69 70
2 6 7 46 50 54 66 67 71
3 4 8 47 51 52 64 68 72
10 14 18 30 31 35 74 78 79
11 15 16 28 32 36 75 76 80
12 13 17 29 33 34 73 77 81
19 23 27 39 40 44 56 60 61
20 24 25 37 41 45 57 58 62
21 22 26 38 42 43 55 59 63
1 6 8 10 15 17 19 24 26
2 4 9 11 13 18 20 22 27
3 5 7 12 14 16 21 23 25
28 33 35 37 42 44 46 51 53
29 31 36 38 40 45 47 49 54
30 32 34 39 41 43 48 50 52
55 60 62 64 69 71 73 78 80
56 58 63 65 67 72 74 76 81
57 59 61 66 68 70 75 77 79
1 6 8 11 13 18 21 23 25
2 4 9 12 14 16 19 24 26
3 5 7 10 15 17 20 22 27
28 33 35 38 40 45 48 50 52
29 31 36 39 41 43 46 51 53
30 32 34 37 42 44 47 49 54
55 60 62 65 67 72 75 77 79
56 58 63 66 68 70 73 78 80
57 59 61 64 69 71 74 76 81
1 6 8 12 14 16 20 22 27
2 4 9 10 15 17 21 23 25
3 5 7 11 13 18 19 24 26
28 33 35 39 41 43 47 49 54
29 31 36 37 42 44 48 50 52
30 32 34 38 40 45 46 51 53
55 60 62 66 68 70 74 76 81
56 58 63 64 69 71 75 77 79
57 59 61 65 67 72 73 78 80
1 6 8 28 33 35 55 60 62
2 4 9 29 31 36 56 58 63
3 5 7 30 32 34 57 59 61
10 15 17 37 42 44 64 69 71
11 13 18 38 40 45 65 67 72
12 14 16 39 41 43 66 68 70
19 24 26 46 51 53 73 78 80
20 22 27 47 49 54 74 76 81
21 23 25 48 50 52 75 77 79
1 6 8 29 31 36 57 59 61
2 4 9 30 32 34 55 60 62
3 5 7 28 33 35 56 58 63
10 15 17 38 40 45 66 68 70
11 13 18 39 41 43 64 69 71
12 14 16 37 42 44 65 67 72
19 24 26 47 49 54 75 77 79
20 22 27 48 50 52 73 78 80
21 23 25 46 51 53 74 76 81
1 6 8 30 32 34 56 58 63
2 4 9 28 33 35 57 59 61
3 5 7 29 31 36 55 60 62
10 15 17 39 41 43 65 67 72
11 13 18 37 42 44 66 68 70
12 14 16 38 40 45 64 69 71
19 24 26 48 50 52 74 76 81
20 22 27 46 51 53 75 77 79
21 23 25 47 49 54 73 78 80
1 6 8 37 42 44 73 78 80
2 4 9 38 40 45 74 76 81
3 5 7 39 41 43 75 77 79
10 15 17 46 51 53 55 60 62
11 13 18 47 49 54 56 58 63
12 14 16 48 50 52 57 59 61
19 24 26 28 33 35 64 69 71
20 22 27 29 31 36 65 67 72
21 23 25 30 32 34 66 68 70
1 6 8 38 40 45 75 77 79
2 4 9 39 41 43 73 78 80
3 5 7 37 42 44 74 76 81
10 15 17 47 49 54 57 59 61
11 13 18 48 50 52 55 60 62
12 14 16 46 51 53 56 58 63
19 24 26 29 31 36 66 68 70
20 22 27 30 32 34 64 69 71
21 23 25 28 33 35 65 67 72
1 6 8 39 41 43 74 76 81
2 4 9 37 42 44 75 77 79
3 5 7 38 40 45 73 78 80
10 15 17 48 50 52 56 58 63
11 13 18 46 51 53 57 59 61
12 14 16 47 49 54 55 60 62
19 24 26 30 32 34 65 67 72
20 22 27 28 33 35 66 68 70
21 23 25 29 31 36 64 69 71
1 6 8 46 51 53 64 69 71
2 4 9 47 49 54 65 67 72
3 5 7 48 50 52 66 68 70
10 15 17 28 33 35 73 78 80
11 13 18 29 31 36 74 76 81
12 14 16 30 32 34 75 77 79
19 24 26 37 42 44 55 60 62
20 22 27 38 40 45 56 58 63
21 23 25 39 41 43 57 59 61
1 6 8 47 49 54 66 68 70
2 4 9 48 50 52 64 69 71
3 5 7 46 51 53 65 67 72
10 15 17 29 31 36 75 77 79
11 13 18 30 32 34 73 78 80
12 14 16 28 33 35 74 76 81
19 24 26 38 40 45 57 59 61
20 22 27 39 41 43 55 60 62
21 23 25 37 42 44 56 58 63
1 6 8 48 50 52 65 67 72
2 4 9 46 51 53 66 68 70
3 5 7 47 49 54 64 69 71
10 15 17 30 32 34 74 76 81
11 13 18 28 33 35 75 77 79
12 14 16 29 31 36 73 78 80
19 24 26 39 41 43 56 58 63
20 22 27 37 42 44 57 59 61
21 23 25 38 40 45 55 60 62
1 10 19 28 37 46 55 64 73
2 11 20 29 38 47 56 65 74
3 12 21 30 39 48 57 66 75
4 13 22 31 40 49 58 67 76
5 14 23 32 41 50 59 68 77
6 15 24 33 42 51 60 69 78
7 16 25 34 43 52 61 70 79
8 17 26 35 44 53 62 71 80
9 18 27 36 45 54 63 72 81
1 10 19 29 38 47 57 66 75
2 11 20 30 39 48 55 64 73
3 12 21 28 37 46 56 65 74
4 13 22 32 41 50 60 69 78
5 14 23 33 42 51 58 67 76
6 15 24 31 40 49 59 68 77
7 16 25 35 44 53 63 72 81
8 17 26 36 45 54 61 70 79
9 18 27 34 43 52 62 71 80
1 10 19 30 39 48 56 65 74
2 11 20 28 37 46 57 66 75
3 12 21 29 38 47 55 64 73
4 13 22 33 42 51 59 68 77
5 14 23 31 40 49 60 69 78
6 15 24 32 41 50 58 67 76
7 16 25 36 45 54 62 71 80
8 17 26 34 43 52 63 72 81
9 18 27 35 44 53 61 70 79
1 10 19 31 40 49 61 70 79
2 11 20 32 41 50 62 71 80
3 12 21 33 42 51 63 72 81
4 13 22 34 43 52 55 64 73
5 14 23 35 44 53 56 65 74
6 15 24 36 45 54 57 66 75
7 16 25 28 37 46 58 67 76
8 17 26 29 38 47 59 68 77
9 18 27 30 39 48 60 69 78
1 10 19 32 41 50 63 72 81
2 11 20 33 42 51 61 70 79
3 12 21 31 40 49 62 71 80
4 13 22 35 44 53 57 66 75
5 14 23 36 45 54 55 64 73
6 15 24 34 43 52 56 65 74
7 16 25 29 38 47 60 69 78
8 17 26 30 39 48 58 67 76
9 18 27 28 37 46 59 68 77
1 10 19 33 42 51 62 71 80
2 11 20 31 40 49 63 72 81
3 12 21 32 41 50 61 70 79
4 13 22 36 45 54 56 65 74
5 14 23 34 43 52 57 66 75
6 15 24 35 44 53 55 64 73
7 16 25 30 39 48 59 68 77
8 17 26 28 37 46 60 69 78
9 18 27 29 38 47 58 67 76
1 10 19 34 43 52 58 67 76
2 11 20 35 44 53 59 68 77
3 12 21 36 45 54 60 69 78
4 13 22 28 37 46 61 70 79
5 14 23 29 38 47 62 71 80
6 15 24 30 39 48 63 72 81
7 16 25 31 40 49 55 64 73
8 17 26 32 41 50 56 65 74
9 18 27 33 42 51 57 66 75
1 10 19 35 44 53 60 69 78
2 11 20 36 45 54 58 67 76
3 12 21 34 43 52 59 68 77
4 13 22 29 38 47 63 72 81
5 14 23 30 39 48 61 70 79
6 15 24 28 37 46 62 71 80
7 16 25 32 41 50 57 66 75
8 17 26 33 42 51 55 64 73
9 18 27 31 40 49 56 65 74
1 10 19 36 45 54 59 68 77
2 11 20 34 43 52 60 69 78
3 12 21 35 44 53 58 67 76
4 13 22 30 39 48 62 71 80
5 14 23 28 37 46 63 72 81
6 15 24 29 38 47 61 70 79
7 16 25 33 42 51 56 65 74
8 17 26 31 40 49 57 66 75
9 18 27 32 41 50 55 64 73
1 11 21 28 38 48 55 65 75
2 12 19 29 39 46 56 66 73
3 10 20 30 37 47 57 64 74
4 14 24 31 41 51 58 68 78
5 15 22 32 42 49 59 69 76
6 13 23 33 40 50 60 67 77
7 17 27 34 44 54 61 71 81
8 18 25 35 45 52 62 72 79
9 16 26 36 43 53 63 70 80
1 11 21 29 39 46 57 64 74
2 12 19 30 37 47 55 65 75
3 10 20 28 38 48 56 66 73
4 14 24 32 42 49 60 67 77
5 15 22 33 40 50 58 68 78
6 13 23 31 41 51 59 69 76
7 17 27 35 45 52 63 70 80
8 18 25 36 43 53 61 71 81
9 16 26 34 44 54 62 72 79
1 11 21 30 37 47 56 66 73
2 12 19 28 38 48 57 64 74
3 10 20 29 39 46 55 65 75
4 14 24 33 40 50 59 69 76
5 15 22 31 41 51 60 67 77
6 13 23 32 42 49 58 68 78
7 17 27 36 43 53 62 72 79
8 18 25 34 44 54 63 70 80
9 16 26 35 45 52 61 71 81
1 11 21 31 41 51 61 71 81
2 12 19 32 42 49 62 72 79
3 10 20 33 40 50 63 70 80
4 14 24 34 44 54 55 65 75
5 15 22 35 45 52 56 66 73
6 13 23 36 43 53 57 64 74
7 17 27 28 38 48 58 68 78
8 18 25 29 39 46 59 69 76
9 16 26 30 37 47 60 67 77
1 11 21 32 42 49 63 70 80
2 12 19 33 40 50 61 71 81
3 10 20 31 41 51 62 72 79
4 14 24 35 45 52 57 64 74
5 15 22 36 43 53 55 65 75
6 13 23 34 44 54 56 66 73
7 17 27 29 39 46 60 67 77
8 18 25 30 37 47 58 68 78
9 16 26 28 38 48 59 69 76
1 11 21 33 40 50 62 72 79
2 12 19 31 41 51 63 70 80
3 10 20 32 42 49 61 71 81
4 14 24 36 43 53 56 66 73
5 15 22 34 44 54 57 64 74
6 13 23 35 45 52 55 65 75
7 17 27 30 37 47 59 69 76
8 18 25 28 38 48 60 67 77
9 16 26 29 39 46 58 68 78
1 11 21 34 44 54 58 68 78
2 12 19 35 45 52 59 69 76
3 10 20 36 43 53 60 67 77
4 14 24 28 38 48 61 71 81
5 15 22 29 39 46 62 72 79
6 13 23 30 37 47 63 70 80
7 17 27 31 41 51 55 65 75
8 18 25 32 42 49 56 66 73
9 16 26 33 40 50 57 64 74
1 11 21 35 45 52 60 67 77
2 12 19 36 43 53 58 68 78
3 10 20 34 44 54 59 69 76
4 14 24 29 39 46 63 70 80
5 15 22 30 37 47 61 71 81
6 13 23 28 38 48 62 72 79
7 17 27 32 42 49 57 64 74
8 18 25 33 40 50 55 65 75
9 16 26 31 41 51 56 66 73
1 11 21 36 43 53 59 69 76
2 12 19 34 44 54 60 67 77
3 10 20 35 45 52 58 68 78
4 14 24 30 37 47 62 72 79
5 15 22 28 38 48 63 70 80
6 13 23 29 39 46 61 71 81
7 17 27 33 40 50 56 66 73
8 18 25 31 41 51 57 64 74
9 16 26 32 42 49 55 65 75
1 12 20 28 39 47 55 66 74
2 10 21 29 37 48 56 64 75
3 11 19 30 38 46 57 65 73
4 15 23 31 42 50 58 69 77
5 13 24 32 40 51 59 67 78
6 14 22 33 41 49 60 68 76
7 18 26 34 45 53 61 72 80
8 16 27 35 43 54 62 70 81
9 17 25 36 44 52 63 71 79
1 12 20 29 37 48 57 65 73
2 10 21 30 38 46 55 66 74
3 11 19 28 39 47 56 64 75
4 15 23 32 40 51 60 68 76
5 13 24 33 41 49 58 69 77
6 14 22 31 42 50 59 67 78
7 18 26 35 43 54 63 71 79
8 16 27 36 44 52 61 72 80
9 17 25 34 45 53 62 70 81
1 12 20 30 38 46 56 64 75
2 10 21 28 39 47 57 65 73
3 11 19 29 37 48 55 66 74
4 15 23 33 41 49 59 67 78
5 13 24 31 42 50 60 68 76
6 14 22 32 40 51 58 69 77
7 18 26 36 44 52 62 70 81
8 16 27 34 45 53 63 71 79
9 17 25 35 43 54 61 72 80
1 12 20 31 42 50 61 72 80
2 10 21 32 40 51 62 70 81
3 11 19 33 41 49 63 71 79
4 15 23 34 45 53 55 66 74
5 13 24 35 43 54 56 64 75
6 14 22 36 44 52 57 65 73
